timestamp,power
1612699200,107
1612700100,116
1612701000,526
1612701900,640
1612702800,93
1612703700,73
1612704600,87
1612705500,46
1612706400,60
1612707300,147
1612708200,105
1612709100,84
1612710000,67
1612710900,303
1612711800,109
1612712700,160
1612713600,163
1612714500,125
1612715400,122
1612716300,136
1612717200,249
1612718100,168
1612719000,243
1612719900,116
1612720800,207
1612721700,184
1612722600,209
1612723500,181
1612724400,194
1612725300,167
1612726200,219
1612727100,170
1612728000,222
1612728900,253
1612729800,227
1612730700,233
1612731600,215
1612732500,199
1612733400,162
1612734300,209
1612735200,83
1612736100,105
1612737000,74
1612737900,87
1612738800,38
1612739700,51
1612740600,84
1612741500,66
1612742400,78
1612743300,42
1612744200,74
1612745100,59
1612746000,60
1612746900,84
1612747800,44
1612748700,69
1612749600,51
1612750500,73
1612751400,66
1612752300,56
1612753200,97
1612754100,87
1612755000,95
1612755900,98
1612756800,97
1612757700,111
1612758600,142
1612759500,119
1612760400,64
1612761300,72
1612762200,190
1612763100,107
1612764000,75
1612764900,44
1612765800,76
1612766700,48
1612767600,78
1612768500,66
1612769400,44
1612770300,78
1612771200,49
1612772100,63
1612773000,66
1612773900,192
1612774800,114
1612775700,60
1612776600,81
1612777500,50
1612778400,73
1612779300,70
1612780200,60
1612781100,66
1612782000,370
1612782900,609
1612783800,126
1612784700,119
1612785600,91
1612786500,99
1612787400,59
1612788300,67
1612789200,93
1612790100,93
1612791000,96
1612791900,146
1612792800,118
1612793700,151
1612794600,105
1612795500,142
1612796400,134
1612797300,122
1612798200,141
1612799100,124
1612800000,169
1612800900,151
1612801800,130
1612802700,155
1612803600,125
1612804500,153
1612805400,119
1612806300,153
1612807200,319
1612808100,270
1612809000,195
1612809900,170
1612810800,186
1612811700,193
1612812600,232
1612813500,250
1612814400,178
1612815300,210
1612816200,159
1612817100,189
1612818000,121
1612818900,87
1612819800,153
1612820700,111
1612821600,62
1612822500,87
1612823400,65
1612824300,90
1612825200,69
1612826100,69
1612827000,74
1612827900,46
1612828800,77
1612829700,50
1612830600,73
1612831500,83
1612832400,66
1612833300,71
1612834200,44
1612835100,84
1612836000,51
1612836900,82
1612837800,51
1612838700,95
1612839600,51
1612840500,91
1612841400,46
1612842300,79
1612843200,71
1612844100,63
1612845000,105
1612845900,76
1612846800,95
1612847700,59
1612848600,197
1612849500,99
