timestamp,price_energy_levies_positive,price_energy_levies_negative
1617933600,0.18,0.18
1617934500,0.18,0.18
1617935400,0.18,0.18
1617936300,0.18,0.18
1617937200,0.18,0.18
1617938100,0.18,0.18
1617939000,0.18,0.18
1617939900,0.18,0.18
1617940800,0.18,0.18
1617941700,0.18,0.18
1617942600,0.18,0.18
1617943500,0.18,0.18
1617944400,0.18,0.18
1617945300,0.18,0.18
1617946200,0.18,0.18
1617947100,0.18,0.18
1617948000,0.18,0.18
1617948900,0.18,0.18
1617949800,0.18,0.18
1617950700,0.18,0.18
1617951600,0.18,0.18
1617952500,0.18,0.18
1617953400,0.18,0.18
1617954300,0.18,0.18
1617955200,0.18,0.18
1617956100,0.18,0.18
1617957000,0.18,0.18
1617957900,0.18,0.18
1617958800,0.18,0.18
1617959700,0.18,0.18
1617960600,0.18,0.18
1617961500,0.18,0.18
1617962400,0.18,0.18
1617963300,0.18,0.18
1617964200,0.18,0.18
1617965100,0.18,0.18
1617966000,0.18,0.18
1617966900,0.18,0.18
1617967800,0.18,0.18
1617968700,0.18,0.18
1617969600,0.18,0.18
1617970500,0.18,0.18
1617971400,0.18,0.18
1617972300,0.18,0.18
1617973200,0.18,0.18
1617974100,0.18,0.18
1617975000,0.18,0.18
1617975900,0.18,0.18
1617976800,0.18,0.18
1617977700,0.18,0.18
1617978600,0.18,0.18
1617979500,0.18,0.18
1617980400,0.18,0.18
1617981300,0.18,0.18
1617982200,0.18,0.18
1617983100,0.18,0.18
1617984000,0.18,0.18
1617984900,0.18,0.18
1617985800,0.18,0.18
1617986700,0.18,0.18
1617987600,0.18,0.18
1617988500,0.18,0.18
1617989400,0.18,0.18
1617990300,0.18,0.18
1617991200,0.18,0.18
1617992100,0.18,0.18
1617993000,0.18,0.18
1617993900,0.18,0.18
1617994800,0.18,0.18
1617995700,0.18,0.18
1617996600,0.18,0.18
1617997500,0.18,0.18
1617998400,0.18,0.18
1617999300,0.18,0.18
1618000200,0.18,0.18
1618001100,0.18,0.18
1618002000,0.18,0.18
1618002900,0.18,0.18
1618003800,0.18,0.18
1618004700,0.18,0.18
1618005600,0.18,0.18
1618006500,0.18,0.18
1618007400,0.18,0.18
1618008300,0.18,0.18
1618009200,0.18,0.18
1618010100,0.18,0.18
1618011000,0.18,0.18
1618011900,0.18,0.18
1618012800,0.18,0.18
1618013700,0.18,0.18
1618014600,0.18,0.18
1618015500,0.18,0.18
1618016400,0.18,0.18
1618017300,0.18,0.18
1618018200,0.18,0.18
1618019100,0.18,0.18
1618020000,0.18,0.18
1618020900,0.18,0.18
1618021800,0.18,0.18
1618022700,0.18,0.18
1618023600,0.18,0.18
1618024500,0.18,0.18
1618025400,0.18,0.18
1618026300,0.18,0.18
1618027200,0.18,0.18
1618028100,0.18,0.18
1618029000,0.18,0.18
1618029900,0.18,0.18
1618030800,0.18,0.18
1618031700,0.18,0.18
1618032600,0.18,0.18
1618033500,0.18,0.18
1618034400,0.18,0.18
1618035300,0.18,0.18
1618036200,0.18,0.18
1618037100,0.18,0.18
1618038000,0.18,0.18
1618038900,0.18,0.18
1618039800,0.18,0.18
1618040700,0.18,0.18
1618041600,0.18,0.18
1618042500,0.18,0.18
1618043400,0.18,0.18
1618044300,0.18,0.18
1618045200,0.18,0.18
1618046100,0.18,0.18
1618047000,0.18,0.18
1618047900,0.18,0.18
1618048800,0.18,0.18
1618049700,0.18,0.18
1618050600,0.18,0.18
1618051500,0.18,0.18
1618052400,0.18,0.18
1618053300,0.18,0.18
1618054200,0.18,0.18
1618055100,0.18,0.18
1618056000,0.18,0.18
1618056900,0.18,0.18
1618057800,0.18,0.18
1618058700,0.18,0.18
1618059600,0.18,0.18
1618060500,0.18,0.18
1618061400,0.18,0.18
1618062300,0.18,0.18
1618063200,0.18,0.18
1618064100,0.18,0.18
1618065000,0.18,0.18
1618065900,0.18,0.18
1618066800,0.18,0.18
1618067700,0.18,0.18
1618068600,0.18,0.18
1618069500,0.18,0.18
1618070400,0.18,0.18
1618071300,0.18,0.18
1618072200,0.18,0.18
1618073100,0.18,0.18
1618074000,0.18,0.18
1618074900,0.18,0.18
1618075800,0.18,0.18
1618076700,0.18,0.18
1618077600,0.18,0.18
1618078500,0.18,0.18
1618079400,0.18,0.18
1618080300,0.18,0.18
1618081200,0.18,0.18
1618082100,0.18,0.18
1618083000,0.18,0.18
1618083900,0.18,0.18
1618084800,0.18,0.18
1618085700,0.18,0.18
1618086600,0.18,0.18
1618087500,0.18,0.18
1618088400,0.18,0.18
1618089300,0.18,0.18
1618090200,0.18,0.18
1618091100,0.18,0.18
1618092000,0.18,0.18
1618092900,0.18,0.18
1618093800,0.18,0.18
1618094700,0.18,0.18
1618095600,0.18,0.18
1618096500,0.18,0.18
1618097400,0.18,0.18
1618098300,0.18,0.18
1618099200,0.18,0.18
1618100100,0.18,0.18
1618101000,0.18,0.18
1618101900,0.18,0.18
1618102800,0.18,0.18
1618103700,0.18,0.18
1618104600,0.18,0.18
1618105500,0.18,0.18
1618106400,0.18,0.18
1618107300,0.18,0.18
1618108200,0.18,0.18
1618109100,0.18,0.18
1618110000,0.18,0.18
1618110900,0.18,0.18
1618111800,0.18,0.18
1618112700,0.18,0.18
1618113600,0.18,0.18
1618114500,0.18,0.18
1618115400,0.18,0.18
1618116300,0.18,0.18
1618117200,0.18,0.18
1618118100,0.18,0.18
1618119000,0.18,0.18
1618119900,0.18,0.18
1618120800,0.18,0.18
1618121700,0.18,0.18
1618122600,0.18,0.18
1618123500,0.18,0.18
1618124400,0.18,0.18
1618125300,0.18,0.18
1618126200,0.18,0.18
1618127100,0.18,0.18
1618128000,0.18,0.18
1618128900,0.18,0.18
1618129800,0.18,0.18
1618130700,0.18,0.18
1618131600,0.18,0.18
1618132500,0.18,0.18
1618133400,0.18,0.18
1618134300,0.18,0.18
1618135200,0.18,0.18
1618136100,0.18,0.18
1618137000,0.18,0.18
1618137900,0.18,0.18
1618138800,0.18,0.18
1618139700,0.18,0.18
1618140600,0.18,0.18
1618141500,0.18,0.18
1618142400,0.18,0.18
1618143300,0.18,0.18
1618144200,0.18,0.18
1618145100,0.18,0.18
1618146000,0.18,0.18
1618146900,0.18,0.18
1618147800,0.18,0.18
1618148700,0.18,0.18
1618149600,0.18,0.18
1618150500,0.18,0.18
1618151400,0.18,0.18
1618152300,0.18,0.18
1618153200,0.18,0.18
1618154100,0.18,0.18
1618155000,0.18,0.18
1618155900,0.18,0.18
1618156800,0.18,0.18
1618157700,0.18,0.18
1618158600,0.18,0.18
1618159500,0.18,0.18
1618160400,0.18,0.18
1618161300,0.18,0.18
1618162200,0.18,0.18
1618163100,0.18,0.18
1618164000,0.18,0.18
1618164900,0.18,0.18
1618165800,0.18,0.18
1618166700,0.18,0.18
1618167600,0.18,0.18
1618168500,0.18,0.18
1618169400,0.18,0.18
1618170300,0.18,0.18
1618171200,0.18,0.18
1618172100,0.18,0.18
1618173000,0.18,0.18
1618173900,0.18,0.18
1618174800,0.18,0.18
1618175700,0.18,0.18
1618176600,0.18,0.18
1618177500,0.18,0.18
1618178400,0.18,0.18
1618179300,0.18,0.18
1618180200,0.18,0.18
1618181100,0.18,0.18
1618182000,0.18,0.18
1618182900,0.18,0.18
1618183800,0.18,0.18
1618184700,0.18,0.18
1618185600,0.18,0.18
1618186500,0.18,0.18
1618187400,0.18,0.18
1618188300,0.18,0.18
1618189200,0.18,0.18
1618190100,0.18,0.18
1618191000,0.18,0.18
1618191900,0.18,0.18
1618192800,0.18,0.18
1618193700,0.18,0.18
1618194600,0.18,0.18
1618195500,0.18,0.18
1618196400,0.18,0.18
1618197300,0.18,0.18
1618198200,0.18,0.18
1618199100,0.18,0.18
1618200000,0.18,0.18
1618200900,0.18,0.18
1618201800,0.18,0.18
1618202700,0.18,0.18
1618203600,0.18,0.18
1618204500,0.18,0.18
1618205400,0.18,0.18
1618206300,0.18,0.18
1618207200,0.18,0.18
1618208100,0.18,0.18
1618209000,0.18,0.18
1618209900,0.18,0.18
1618210800,0.18,0.18
1618211700,0.18,0.18
1618212600,0.18,0.18
1618213500,0.18,0.18
1618214400,0.18,0.18
1618215300,0.18,0.18
1618216200,0.18,0.18
1618217100,0.18,0.18
1618218000,0.18,0.18
1618218900,0.18,0.18
1618219800,0.18,0.18
1618220700,0.18,0.18
1618221600,0.18,0.18
1618222500,0.18,0.18
1618223400,0.18,0.18
1618224300,0.18,0.18
1618225200,0.18,0.18
1618226100,0.18,0.18
1618227000,0.18,0.18
1618227900,0.18,0.18
1618228800,0.18,0.18
1618229700,0.18,0.18
1618230600,0.18,0.18
1618231500,0.18,0.18
1618232400,0.18,0.18
1618233300,0.18,0.18
1618234200,0.18,0.18
1618235100,0.18,0.18
1618236000,0.18,0.18
1618236900,0.18,0.18
1618237800,0.18,0.18
1618238700,0.18,0.18
1618239600,0.18,0.18
1618240500,0.18,0.18
1618241400,0.18,0.18
1618242300,0.18,0.18
1618243200,0.18,0.18
1618244100,0.18,0.18
1618245000,0.18,0.18
1618245900,0.18,0.18
1618246800,0.18,0.18
1618247700,0.18,0.18
1618248600,0.18,0.18
1618249500,0.18,0.18
1618250400,0.18,0.18
1618251300,0.18,0.18
1618252200,0.18,0.18
1618253100,0.18,0.18
1618254000,0.18,0.18
1618254900,0.18,0.18
1618255800,0.18,0.18
1618256700,0.18,0.18
1618257600,0.18,0.18
1618258500,0.18,0.18
1618259400,0.18,0.18
1618260300,0.18,0.18
1618261200,0.18,0.18
1618262100,0.18,0.18
1618263000,0.18,0.18
1618263900,0.18,0.18
1618264800,0.18,0.18
1618265700,0.18,0.18
1618266600,0.18,0.18
1618267500,0.18,0.18
1618268400,0.18,0.18
1618269300,0.18,0.18
1618270200,0.18,0.18
1618271100,0.18,0.18
1618272000,0.18,0.18
1618272900,0.18,0.18
